iter	RMSE
0	11698.06815
1	11428.42407
2	11171.31945
3	10955.83828
4	10729.57709
5	10550.51279
6	10331.22836
7	10120.94025
8	9923.735032
9	9719.600301
10	9541.873805
11	9350.579384
12	9212.154525
13	9033.646483
14	8878.35251
15	8731.728904
16	8585.072482
17	8434.489585
18	8275.535025
19	8135.147813
20	7995.57387
21	7896.200757
22	7757.969784
23	7624.610107
24	7501.633046
25	7380.922949
26	7261.793139
27	7147.276037
28	7034.872906
29	6928.588449
30	6860.211519
31	6768.138038
32	6669.549432
33	6582.06937
34	6504.402933
35	6420.326917
36	6351.746669
37	6285.594183
38	6212.596174
39	6138.131912
40	6079.83455
41	6020.823296
42	5954.867151
43	5891.759713
44	5835.806855
45	5783.568383
46	5738.898127
47	5684.554838
48	5636.284614
49	5589.554584
50	5562.432986
51	5518.950484
52	5474.11062
53	5430.294857
54	5392.369955
55	5353.778968
56	5319.943082
57	5285.230432
58	5249.952582
59	5219.196024
60	5196.559375
61	5173.657289
62	5143.091249
63	5114.048727
64	5088.095406
65	5064.274704
66	5051.875454
67	5028.325031
68	5008.70326
69	4986.591053
70	4963.011651
71	4941.855586
72	4925.378974
73	4904.70509
74	4889.348587
75	4871.589118
76	4853.028832
77	4836.505542
78	4821.508054
79	4808.089775
80	4792.695762
81	4781.969515
82	4773.225052
83	4760.747442
84	4749.58677
85	4741.146391
86	4729.214158
87	4716.793626
88	4712.802473
89	4701.587162
90	4690.494095
91	4687.136694
92	4676.544154
93	4665.055698
94	4656.341357
95	4648.229821
96	4643.541911
97	4634.934235
98	4624.090399
99	4616.619167
100	4610.561652
101	4606.836106
102	4595.536499
103	4588.464566
104	4580.482877
105	4572.534704
106	4569.310204
107	4564.785836
108	4563.801831
109	4560.027918
110	4555.712457
111	4552.368282
112	4552.266684
113	4545.054669
114	4544.096291
115	4544.000393
116	4537.020716
117	4531.411405
118	4524.370585
119	4518.166166
120	4514.764724
121	4509.87842
122	4503.306181
123	4495.569077
124	4490.642471
125	4487.253753
126	4485.155931
127	4482.253675
128	4475.69399
129	4469.945543
130	4463.073876
131	4459.767892
132	4458.082737
133	4455.920938
134	4451.586302
135	4447.25046
136	4444.858996
137	4439.906936
138	4439.833727
139	4435.914849
140	4432.721202
141	4429.441261
142	4423.302442
143	4420.233672
144	4417.728076
145	4417.674148
146	4414.807092
147	4414.755969
148	4408.959326
149	4406.556804
150	4404.298525
151	4401.111989
152	4395.35136
153	4390.888741
154	4390.793601
155	4386.573701
156	4381.916359
157	4380.624357
158	4378.681978
159	4373.944598
160	4371.067181
161	4370.942829
162	4368.837148
163	4368.801134
164	4368.778977
165	4368.542841
166	4365.374433
167	4364.153865
168	4362.515036
169	4357.135895
170	4352.387994
171	4349.833046
172	4349.798509
173	4346.993287
174	4345.961537
175	4342.316851
176	4338.875719
177	4334.973223
178	4334.94282
179	4332.798767
180	4331.270193
181	4330.626494
182	4330.598115
183	4328.23588
184	4325.367505
185	4324.22081
186	4322.697273
187	4322.620825
188	4320.854471
189	4317.10177
190	4315.416806
191	4310.966006
192	4308.366958
193	4305.658794
194	4303.485627
195	4301.375407
196	4296.379138
197	4294.053394
198	4292.895477
199	4289.24926
