iter	Passed	Remaining
0	80	15976
1	172	17121
2	473	31087
3	556	27279
4	625	24375
5	655	21200
6	774	21344
7	837	20100
8	905	19220
9	976	18555
10	1040	17877
11	1105	17319
12	1134	16316
13	1199	15930
14	1272	15688
15	1341	15431
16	1427	15368
17	1518	15357
18	1603	15271
19	1645	14809
20	1701	14506
21	1728	13981
22	1777	13680
23	1897	13918
24	1996	13977
25	2047	13700
26	2120	13585
27	2186	13431
28	2309	13616
29	2409	13656
30	2434	13273
31	2509	13175
32	2569	13005
33	2641	12896
34	2690	12684
35	2760	12576
36	2807	12370
37	2847	12137
38	2925	12078
39	2972	11891
40	3018	11704
41	3054	11491
42	3135	11446
43	3183	11287
44	3250	11196
45	3325	11132
46	3375	10989
47	3457	10949
48	3520	10849
49	3597	10792
50	3626	10595
51	3711	10564
52	3784	10496
53	3868	10459
54	3992	10525
55	4108	10563
56	4274	10723
57	4349	10647
58	4434	10598
59	4546	10607
60	4609	10502
61	4646	10342
62	4721	10266
63	4832	10268
64	4907	10193
65	4972	10095
66	4994	9914
67	5061	9825
68	5138	9755
69	5216	9687
70	5329	9683
71	5445	9681
72	5514	9593
73	5571	9486
74	5681	9468
75	5748	9378
76	5842	9332
77	5892	9215
78	5981	9160
79	6059	9088
80	6143	9026
81	6198	8919
82	6231	8784
83	6297	8696
84	6359	8604
85	6394	8475
86	6460	8391
87	6524	8304
88	6557	8178
89	6623	8094
90	6691	8014
91	6713	7880
92	6779	7800
93	6845	7719
94	6913	7641
95	6980	7561
96	7024	7458
97	7093	7383
98	7165	7310
99	7232	7232
100	7287	7142
101	7356	7068
102	7431	6998
103	7504	6927
104	7574	6853
105	7645	6779
106	7711	6702
107	7745	6597
108	7775	6491
109	7818	6397
110	7908	6341
111	7936	6236
112	7956	6126
113	8027	6055
114	8048	5948
115	8070	5843
116	8136	5772
117	8200	5698
118	8273	5631
119	8343	5562
120	8416	5494
121	8481	5422
122	8558	5357
123	8626	5287
124	8689	5213
125	8744	5135
126	8815	5067
127	8871	4990
128	8944	4922
129	9010	4851
130	9072	4778
131	9137	4707
132	9178	4623
133	9209	4535
134	9272	4464
135	9338	4394
136	9373	4310
137	9438	4240
138	9460	4151
139	9525	4082
140	9594	4014
141	9659	3945
142	9731	3879
143	9796	3809
144	9860	3740
145	9882	3655
146	9954	3589
147	9975	3505
148	10050	3440
149	10123	3374
150	10188	3306
151	10260	3240
152	10339	3176
153	10403	3107
154	10437	3030
155	10512	2965
156	10579	2897
157	10624	2824
158	10711	2762
159	10800	2700
160	10868	2632
161	10931	2564
162	11008	2498
163	11029	2421
164	11057	2345
165	11100	2273
166	11180	2209
167	11222	2137
168	11305	2073
169	11388	2009
170	11465	1944
171	11539	1878
172	11562	1804
173	11630	1737
174	11704	1672
175	11772	1605
176	11845	1539
177	11916	1472
178	11949	1401
179	12033	1337
180	12109	1271
181	12143	1200
182	12165	1130
183	12231	1063
184	12297	997
185	12374	931
186	12440	864
187	12472	796
188	12548	730
189	12619	664
190	12686	597
191	12772	532
192	12843	465
193	12910	399
194	12975	332
195	13048	266
196	13118	199
197	13189	133
198	13258	66
199	13331	0
